DATACODE,RECTYPE,Location,Trans,Plot,Geology,Recyear,WLDate,Elevation,SWDate,Na1,Na2,K1,K2,Li,NH4_N,Ca1,Ca2,Mg1,Mg2,Sr,Ba,SO4,F,Cl,NO3_N,HPO4_P,Alkalinity,pH1,DDB,pH2,Temp,Si1,Si2,B,Conduct
AGW01,1,3-6Eis,3,6,Eis,1992,1992-02-14,369.66,2/15/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-6Mor,3,6,Mor,1992,1992-02-14,364.96,2/15/1992,na,na,na,na,na,na,na,na,na,na,na,na,48.1,na,2,0.081,bdl,na,na,na,na,na,na,na,na,na
AGW01,1,4-2Eis1,4,2,Eis 1,1992,1992-02-14,370.42,2/15/1992,13.5,na,1.91,na,na,na,62.3,na,37.8,na,na,na,55.7,na,1.5,0.05,bdl,363,7.48,na,na,na,na,na,na,na
AGW01,1,4-2Eis2,4,2,Eis 2,1992,1992-02-14,371.33,2/15/1992,6.72,na,1.18,na,na,na,77.8,na,18,na,na,na,48.5,na,2,0.23,bdl,315,7.82,na,na,na,na,na,na,na
AGW01,1,4-2Mor,4,2,Mor,1992,1992-02-14,364.46,2/15/1992,6.1,na,1.23,na,na,na,91.6,na,18.9,na,na,na,58,na,1.7,bdl,bdl,313,7.68,na,na,na,na,na,na,na
AGW01,1,4-4Stearns,4,4,Stearns,1992,1992-02-14,369.89,2/15/1992,6.56,na,1.7,na,na,na,85.4,na,29.3,na,na,na,42.1,na,0.7,bdl,bdl,377,7.44,na,na,na,na,na,na,na
AGW01,1,4-5Stearns,4,5,Stearns,1992,1992-02-14,370.28,2/15/1992,8.76,na,1.75,na,na,na,70.2,na,35.9,na,na,na,47,na,1.6,bdl,bdl,377,7.5,na,na,na,na,na,na,na
AGW01,1,4-6Eis1,4,6,Eis 1,1992,1992-02-14,369.91,2/15/1992,11.5,na,1.92,na,na,na,62.9,na,33.7,na,na,na,39.4,na,1.2,0.16,bdl,349,7.74,na,na,na,na,na,na,na
AGW01,1,4-6Eis2,4,6,Eis 2,1992,1992-02-14,371.3,2/15/1992,4.86,na,1.06,na,na,na,82.3,na,17.9,na,na,na,29.1,na,1.3,0.11,bdl,322,7.47,na,na,na,na,na,na,na
AGW01,1,4-6Mor,4,6,Mor,1992,1992-02-14,365.03,2/15/1992,4.99,na,1.12,na,na,na,79.8,na,19.2,na,na,na,36.7,na,1,0.1,bdl,317,7.53,na,na,na,na,na,na,na
AGW01,1,1-1AL,1,1,AL,1992,1992-04-04,364.34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,1-3Eis,1,3,Eis,1992,1992-04-04,370.01,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,1-4AL,1,4,AL,1992,1992-04-04,364.07,4/5/1992,4.3,na,0.75,na,na,na,80.4,na,15.8,na,na,na,29,na,1.5,bdl,bdl,290,8.09,na,na,na,na,na,na,na
AGW01,1,1-6Mor,1,6,Mor,1992,1992-04-04,365.38,4/5/1992,3.14,na,0.52,na,na,na,88.3,na,14.2,na,na,na,23.9,na,1.5,0.052,bdl,308,7.81,na,na,na,na,na,na,na
AGW01,1,2-1Mor,2,1,Mor,1992,1992-04-04,365.73,4/5/1992,2.91,na,0.59,na,na,na,84,na,12.2,na,na,na,26,na,1.6,0.236,bdl,284,7.96,na,na,na,na,na,na,na
AGW01,1,2-3Eis,2,3,Eis,1992,1992-04-04,370.59,4/5/1992,na,na,na,na,na,na,na,na,na,na,na,na,17.3,na,1.9,0.916,bdl,na,na,na,na,na,na,na,na,na
AGW01,1,2-3Mor,2,3,Mor,1992,1992-04-04,365.29,4/5/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-4Mor,2,4,Mor,1992,1992-04-04,365.66,4/5/1992,3.13,na,0.72,na,na,na,76.4,na,16.1,na,na,na,28.5,na,1.7,bdl,bdl,277,8,na,na,na,na,na,na,na
AGW01,1,2-5Mor,2,5,Mor,1992,1992-04-04,365.67,4/5/1992,9.13,na,0.83,na,na,na,80.8,na,14,na,na,na,28.6,na,1.1,0.194,bdl,281,7.77,na,na,na,na,na,na,na
AGW01,1,2-6Eis,2,6,Eis,1992,1992-04-04,370.08,4/5/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-6Mor,2,6,Mor,1992,1992-04-04,365.82,4/5/1992,4.19,na,0.73,na,na,na,85.2,na,16.3,na,na,na,28.7,na,1.6,bdl,bdl,279,7.81,na,na,na,na,na,na,na
AGW01,1,3-1AL,3,1,AL,1992,1992-04-04,366.31,4/5/1992,4.31,na,0.73,na,na,na,75.8,na,15.3,na,na,na,30.8,na,1.4,0.084,bdl,na,na,na,na,na,na,na,na,na
AGW01,1,3-2Eis,3,2,Eis,1992,1992-04-04,370.13,4/5/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,3-2Mor,3,2,Mor,1992,1992-04-04,366.09,4/5/1992,3.36,na,0.55,na,na,na,84.6,na,14.9,na,na,na,30.1,na,1.6,bdl,bdl,270,7.86,na,na,na,na,na,na,na
AGW01,1,3-3Eis,3,3,Eis,1992,1992-04-04,371.85,4/5/1992,3.11,na,0.73,na,na,na,82.9,na,10.9,na,na,na,14.5,na,0.9,0.17,bdl,299,7.98,na,na,na,na,na,na,na
AGW01,1,3-3Mor,3,3,Mor,1992,1992-04-04,365.5,4/5/1992,7.81,na,5.45,na,na,na,68,na,29,na,na,na,53.3,na,1.9,0.18,bdl,310,8.05,na,na,na,na,na,na,na
AGW01,1,3-4AL,3,4,AL,1992,1992-04-04,367.5,4/5/1992,6.43,na,1.02,na,na,na,92.1,na,18,na,na,na,64.7,na,1.8,bdl,bdl,314,8.18,na,na,na,na,na,na,na
AGW01,1,3-5Mor,3,5,Mor,1992,1992-04-04,366.29,4/5/1992,3.69,na,0.68,na,na,na,82.1,na,16.4,na,na,na,25.9,na,1.5,bdl,bdl,na,7.9,na,na,na,na,na,na,na
AGW01,1,3-6Eis,3,6,Eis,1992,1992-04-04,369.92,4/5/1992,25.9,na,0.89,na,na,na,73.4,na,16.3,na,na,na,21.4,na,0.8,0.41,bdl,327,7.89,na,na,na,na,na,na,na
AGW01,1,3-6Mor,3,6,Mor,1992,1992-04-04,365.78,4/5/1992,4.1,na,0.66,na,na,na,80.8,na,16.3,na,na,na,27.1,na,1.6,bdl,bdl,270,7.83,na,na,na,na,na,na,na
AGW01,1,4-2Eis1,4,2,Eis 1,1992,1992-04-04,371.23,4/5/1992,10.9,na,1.3,na,na,na,69.1,na,38,na,na,na,57.9,na,1.9,bdl,bdl,365,8.05,na,na,na,na,na,na,na
AGW01,1,4-2Eis2,4,2,Eis 2,1992,1992-04-04,372.39,4/5/1992,8.91,na,0.69,na,na,na,73.7,na,16.1,na,na,na,26.4,na,1.4,bdl,bdl,323,8.09,na,na,na,na,na,na,na
AGW01,1,4-2Mor,4,2,Mor,1992,1992-04-04,365.29,4/5/1992,3.82,na,0.74,na,na,na,80.4,na,16.4,na,na,na,31.8,na,1.7,bdl,bdl,281,7.89,na,na,na,na,na,na,na
AGW01,1,4-4Stearns,4,4,Stearns,1992,1992-04-04,370.14,4/5/1992,5.39,na,1.24,na,na,na,86.4,na,29.4,na,na,na,43.2,na,1.7,bdl,bdl,367,7.91,na,na,na,na,na,na,na
AGW01,1,4-5Stearns,4,5,Stearns,1992,1992-04-04,370.39,4/5/1992,7.3,na,1.3,na,na,na,75.4,na,35.8,na,na,na,49.4,na,2,bdl,bdl,367,7.99,na,na,na,na,na,na,na
AGW01,1,4-6Eis1,4,6,Eis 1,1992,1992-04-04,369.75,4/5/1992,9.01,na,1.4,na,na,na,66.8,na,31.9,na,na,na,39.6,na,1.5,0.101,bdl,341,7.98,na,na,na,na,na,na,na
AGW01,1,4-6Eis2,4,6,Eis 2,1992,1992-04-04,371.46,4/5/1992,3.3,na,0.68,na,na,na,85.6,na,16.9,na,na,na,26.9,na,1.3,0.073,bdl,327,7.9,na,na,na,na,na,na,na
AGW01,1,4-6Mor,4,6,Mor,1992,1992-04-04,365.31,4/5/1992,4.27,na,0.72,na,na,na,84.3,na,18.1,na,na,na,28.8,na,1.7,0.063,bdl,327,7.98,na,na,na,na,na,na,na
AGW01,1,1-4AL,1,4,AL,1992,1992-06-17,364.05,6/18/1992,4.69,na,0.93,na,na,na,90.6,na,17.7,na,na,na,28.4,na,1.5,0.05,bdl,320,7.67,na,na,na,na,na,na,na
AGW01,1,1-6Mor,1,6,Mor,1992,1992-06-17,364.85,6/18/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AGW01,1,2-1Mor,2,1,Mor,1992,1992-06-17,365.29,6/18/1992,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
